verified,followers,gender,age,society,sports,politics,religion,entertainment,other,result
False,55,male,35+,44.8,4.5,17.6,24.4,6.3,2.4,0
False,55,male,35+,44.8,4.5,17.6,24.4,6.3,2.4,0
False,225,male,35+,55.7,2.5,20.2,14.4,5.6,1.6,1
False,10,male,35+,22.4,2.2,23.3,42.7,6.9,2.4,0
False,3,male,35+,23.5,23.5,17.6,17.6,17.6,0.0,1
False,3,male,35+,23.5,23.5,17.6,17.6,17.6,0.0,0
True,58379,male,35+,58.7,7.1,22.5,8.8,1.6,1.4,0
True,58379,male,35+,58.7,7.1,22.5,8.8,1.6,1.4,0
False,1647,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,1
False,1647,male,35+,100.0,0.0,0.0,0.0,0.0,0.0,0
True,133884,male,35+,33.5,3.9,48.5,6.3,4.0,3.8,1
True,133884,male,35+,33.5,3.9,48.5,6.3,4.0,3.8,0
False,22742,male,35+,20.5,5.6,52.3,10.3,2.4,8.9,1
False,22742,male,35+,20.5,5.6,52.3,10.3,2.4,8.9,0
False,22742,male,35+,20.5,5.6,52.3,10.3,2.4,8.9,0
False,22742,male,35+,20.5,5.6,52.3,10.3,2.4,8.9,0
True,16540,male,35+,0.0,100.0,0.0,0.0,0.0,0.0,0
True,16540,male,35+,0.0,100.0,0.0,0.0,0.0,0.0,0
False,876,male,35+,38.3,3.4,17.4,26.8,14.1,0.0,1
False,876,male,35+,38.3,3.4,17.4,26.8,14.1,0.0,0
False,876,male,35+,38.3,3.4,17.4,26.8,14.1,0.0,0
False,876,male,35+,38.3,3.4,17.4,26.8,14.1,0.0,0
True,125297,male,35+,42.5,8.5,30.5,7.4,8.2,2.8,0
True,125297,male,35+,42.5,8.5,30.5,7.4,8.2,2.8,0
True,125297,male,35+,42.5,8.5,30.5,7.4,8.2,2.8,0
True,125297,male,35+,42.5,8.5,30.5,7.4,8.2,2.8,0
False,190,male,35+,49.6,0.9,41.6,3.4,3.3,1.2,0
False,190,male,35+,49.6,0.9,41.6,3.4,3.3,1.2,0
False,190,male,35+,49.6,0.9,41.6,3.4,3.3,1.2,0
False,190,male,35+,49.6,0.9,41.6,3.4,3.3,1.2,0
False,5018,male,35+,36.2,28.2,16.4,7.8,10.4,0.9,1
False,5018,male,35+,36.2,28.2,16.4,7.8,10.4,0.9,0
False,5018,male,35+,36.2,28.2,16.4,7.8,10.4,0.9,0
False,5018,male,35+,36.2,28.2,16.4,7.8,10.4,0.9,0
False,2843,male,35+,47.7,9.7,22.4,9.9,8.3,1.9,1
False,2843,male,35+,47.7,9.7,22.4,9.9,8.3,1.9,0
False,2843,male,35+,47.7,9.7,22.4,9.9,8.3,1.9,0
False,2843,male,35+,47.7,9.7,22.4,9.9,8.3,1.9,0
False,1139,male,35+,46.3,6.7,10.3,30.0,5.2,1.5,1
